unix,open,high,low,close,vwap,volume,tradecount,date,volume_from
1581465600,9401.5,9599.0,9382.1,9526.5,9493.8,5128.25502936,32113,2020-02-12,48854321.53719804
1581552000,9528.6,9677.1,9270.0,9451.3,9463.4,7064.88517304,34418,2020-02-13,66772349.23595295
1581638400,9451.4,9592.5,9334.1,9571.4,9478.5,3919.03064082,22636,2020-02-14,37510609.87554455
1581724800,9574.9,9589.9,9083.6,9164.2,9289.8,4114.62964417,25991,2020-02-15,37707288.98510271
1581811200,9164.2,9291.6,8913.2,9167.4,9095.7,2993.81380804,20915,2020-02-16,27445488.703825895
1581897600,9166.3,9195.0,8740.4,8957.1,8942.6,6342.84042325,28476,2020-02-17,56813455.95509257
1581984000,8963.4,9512.0,8911.1,9432.3,9152.0,6413.75577076,30304,2020-02-18,60496468.55653954
1582070400,9430.2,9549.1,8680.0,8896.2,9218.1,5964.14745673,32869,2020-02-19,53058248.60456143
1582156800,8893.0,8987.4,8735.0,8918.9,8888.9,4475.25302262,25998,2020-02-20,39914334.18344551
1582243200,8917.5,9050.0,8804.0,8945.2,8975.7,2962.34834277,19267,2020-02-21,26498798.395746205
1582329600,8945.4,8959.4,8829.8,8929.5,8914.8,1189.84019155,11309,2020-02-22,10624677.990445726
1582416000,8929.5,9233.0,8923.1,9199.3,9124.1,2160.78436194,14113,2020-02-23,19877703.58079464
1582502400,9198.0,9243.1,8734.5,8915.2,8963.3,4215.32344380,23940,2020-02-24,37580451.56616576
1582588800,8913.6,8936.7,8505.0,8555.7,8718.3,4850.99527172,26725,2020-02-25,41503660.24625481
1582675200,8555.7,8613.3,7939.3,8072.1,8229.3,10929.85447877,44637,2020-02-26,88226878.33807932
1582761600,8072.0,8183.3,7839.0,8011.0,8049.7,5946.03064338,32973,2020-02-27,47633651.48411718
1582848000,8014.9,8100.0,7680.2,7893.1,7858.9,6285.47086928,33990,2020-02-28,49611850.118313976
1582934400,7891.4,7987.8,7735.6,7736.9,7869.0,1717.64854082,16988,2020-02-29,13289274.995470257
1583020800,7739.2,7942.5,7622.3,7722.6,7750.9,3322.45134682,19404,2020-03-01,25657962.77095213
1583107200,7722.7,8068.5,7690.2,8005.7,7917.5,5758.95203055,29460,2020-03-02,46104442.27097414
1583193600,8007.9,8025.0,7770.1,7849.5,7889.6,4689.73542424,27680,2020-03-03,36812078.212571874
1583280000,7849.9,7940.0,7805.6,7872.7,7870.1,3410.05779880,21585,2020-03-04,26846362.03261276
1583366400,7869.7,8189.9,7869.6,8082.3,8093.6,4659.12017621,25338,2020-03-05,37656407.000182085
1583452800,8082.3,8151.5,7988.8,8118.3,8071.7,2957.44496872,19620,2020-03-06,24009425.489559576
1583539200,8116.7,8163.8,7852.2,7896.9,8003.8,1906.13354328,15392,2020-03-07,15052545.97792783
1583625600,7896.9,7896.9,7027.0,7075.9,7459.6,6763.37231201,34298,2020-03-08,47856946.142551556
1583712000,7075.8,7200.0,6675.0,6955.0,6873.7,10961.42799386,49079,2020-03-09,76236731.69729629
1583798400,6955.7,7181.7,6810.4,6977.6,7028.1,7608.76179795,32369,2020-03-10,53090896.32137592
1583884800,6978.9,7090.0,6721.5,7046.5,6907.8,6432.38408597,26907,2020-03-11,45325794.461787604
1583971200,7046.4,7071.0,4200.0,4392.8,5487.4,35457.84016728,136308,2020-03-12,155759200.2868276
1584057600,4392.7,5431.9,3550.0,5113.4,4728.5,36178.07736122,157424,2020-03-13,184992980.77886233
1584144000,5106.5,5136.1,4575.1,4683.9,4868.9,7978.12931192,37588,2020-03-14,37368759.884102084
1584230400,4679.2,5389.7,4617.5,4817.7,4893.3,9477.52052079,39140,2020-03-15,45659850.61300998
1584316800,4817.7,4839.4,4000.1,4519.5,4376.8,22814.77817597,78158,2020-03-16,103111389.96629642
1584403200,4519.5,5082.6,4436.7,4867.0,4839.0,15923.72690992,51601,2020-03-17,77500778.87058064
1584489600,4866.4,4985.0,4622.0,4953.0,4816.6,13249.07890452,43620,2020-03-18,65622687.81408756
1584576000,4952.6,6063.4,4839.3,5830.2,5509.9,22098.61302525,76303,2020-03-19,128839333.65981255
1584662400,5830.1,6500.0,5270.0,5823.3,6011.5,25449.16909531,85974,2020-03-20,148198146.39271873
