Date,Symbol,Open,High,Low,Close,Average
2020-12-30,BTCEUR,22345,22489,22345,22451.3,22421.5
2020-12-29,BTCEUR,22121.3,22349.1,20846.6,22345,21762.2
2020-12-28,BTCEUR,21329.8,22498,21160.5,22125.2,22033.8
2020-12-27,BTCEUR,21621.4,23199.8,20746,21328.4,22109.3
2020-12-26,BTCEUR,20243.6,21945.6,20100,21621.4,20988.4
2020-12-25,BTCEUR,19473,20275,19229.6,20237.3,19895.6
2020-12-24,BTCEUR,19090.1,19550,18670,19468.8,19081.1
2020-12-23,BTCEUR,19508.5,19788,18700,19093.3,19272.9
2020-12-22,BTCEUR,18590.2,19525,18307,19508.9,18949.5
2020-12-21,BTCEUR,19156,19706.6,18058.8,18590.1,18840
2020-12-20,BTCEUR,19361.1,19740.8,18775,19155.9,19248
2020-12-19,BTCEUR,18852.5,19610,18602,19361.1,19138.3
2020-12-18,BTCEUR,18579.8,18970,18215.6,18852.5,18645.8
2020-12-17,BTCEUR,17490.1,19399,17386.7,18579.7,18611.3
2020-12-16,BTCEUR,15989.2,17662,15881.1,17490,16772.5
2020-12-15,BTCEUR,15855.5,16088,15670.5,15992.4,15921
2020-12-14,BTCEUR,15780.6,15919.7,15660,15855.9,15782.2
2020-12-13,BTCEUR,15549.7,15995.5,15465.2,15780.5,15791.5
2020-12-12,BTCEUR,14900.1,15648.9,14882.4,15547.5,15316.1
2020-12-11,BTCEUR,15041.3,15068,14510,14900.2,14782.9
2020-12-10,BTCEUR,15378.7,15378.7,14778.2,15041,15082.6
2020-12-09,BTCEUR,15136.6,15450,14550,15378.8,15025.5
2020-12-08,BTCEUR,15837,15933.9,15027,15136.6,15541.4
2020-12-07,BTCEUR,15972.3,16010,15614.6,15837.1,15822.1
2020-12-06,BTCEUR,15811.9,16000,15568.9,15970.7,15806.3
2020-12-05,BTCEUR,15410.1,15850,15277.7,15812,15684.7
2020-12-04,BTCEUR,16019.2,16085,15350,15411.5,15712.1
2020-12-03,BTCEUR,15865.6,16150,15625,16019.2,15936.6
2020-12-02,BTCEUR,15575,16082.8,15228.8,15873.2,15703.7
2020-12-01,BTCEUR,16431.9,16650,15173.8,15575,15979.6
2020-11-30,BTCEUR,15199.9,16539.8,15199.9,16424.1,15980.1
2020-11-29,BTCEUR,14839.1,15355.7,14662,15200,15130.9
2020-11-28,BTCEUR,14341.7,14975,14122.2,14840.2,14647.8
2020-11-27,BTCEUR,14400,14641,13800,14341.7,14207.9
2020-11-26,BTCEUR,15719,15867.1,13608.1,14400,14410.5
2020-11-25,BTCEUR,16114.2,16389.9,15511.7,15718.8,15999.1
2020-11-24,BTCEUR,15508.4,16383.9,15277.7,16114.1,15969.4
2020-11-23,BTCEUR,15491,15805.6,15129.7,15514.7,15566.4
2020-11-22,BTCEUR,15730.5,15770,14678.8,15509,15337.2
2020-11-21,BTCEUR,15734.8,15957.8,15501,15730.5,15763.6
2020-11-20,BTCEUR,15028.6,15881.2,14975.5,15740.8,15521.6
2020-11-19,BTCEUR,15003.2,15360,14700,15030,15069.1
2020-11-18,BTCEUR,14885.7,15495,14500,15000.8,15062.4
2020-11-17,BTCEUR,14086.1,15050,13960.7,14885.6,14565.7
2020-11-16,BTCEUR,13499,14250,13423.2,14086.1,13932.7
2020-11-15,BTCEUR,13595.7,13677.4,13352.2,13499,13520.6
2020-11-14,BTCEUR,13797.2,13798.3,13333,13595.2,13528.2
2020-11-13,BTCEUR,13809.9,13955,13513,13797.3,13773.7
2020-11-12,BTCEUR,13323.4,13845,13124.4,13810,13536.1
2020-11-11,BTCEUR,12968.3,13555.8,12944.4,13323.9,13282.3
2020-11-10,BTCEUR,12952.3,13085,12780.7,12970,12960.8
2020-11-09,BTCEUR,12994.9,13316.7,12555.7,12951,12931.2
2020-11-08,BTCEUR,12442,13176.8,12339,12994.8,12839.5
2020-11-07,BTCEUR,13159.3,13265,11965.1,12445.4,12607.7
2020-11-06,BTCEUR,13187.5,13500,12781,13158,13145.8
2020-11-05,BTCEUR,12064.9,13318.3,12023.6,13187.5,12617.2
2020-11-04,BTCEUR,11929.4,12158,11631.2,12065,11899.3
2020-11-03,BTCEUR,11650,11965.3,11430.2,11927.2,11664.5
2020-11-02,BTCEUR,11810,11879.7,11363.9,11656.6,11642.7
2020-11-01,BTCEUR,11838.4,11910,11710,11809.9,11817.9
2020-10-31,BTCEUR,11636.9,12068.6,11523.5,11847.6,11831.3
2020-10-30,BTCEUR,11524.8,11743,11257.7,11635.6,11493.6
2020-10-29,BTCEUR,11310,11706,11100,11524.8,11412.8
2020-10-28,BTCEUR,11585.1,11758.1,10979.8,11316.1,11348.1
2020-10-27,BTCEUR,11070,11700,11054.8,11586.9,11382.6
2020-10-26,BTCEUR,10996.9,11199.2,10833,11069.9,11044.1
2020-10-25,BTCEUR,11025,11200,10840.7,10991,10999.1
2020-10-24,BTCEUR,10876,11072.2,10831.9,11025,10956.2
2020-10-23,BTCEUR,10978.9,11019.9,10738.1,10876.2,10897.9
2020-10-22,BTCEUR,11093.1,11149.9,10956.4,10979.8,11053.7
2020-10-21,BTCEUR,10076.9,11111,10061.1,10775.9,10583.2
2020-10-20,BTCEUR,9979.6,10178.8,9925.3,10076.8,10042.5
2020-10-19,BTCEUR,9830,10022.5,9758.1,9979.5,9890.2
2020-10-18,BTCEUR,9700.2,9827.6,9695.5,9827.6,9759.6
2020-10-17,BTCEUR,9672.5,9738.1,9628.1,9700.2,9690.4
2020-10-16,BTCEUR,9827.6,9850.3,9600,9672.6,9699.9
2020-10-15,BTCEUR,9741.6,9913.6,9626,9829.1,9755.7
2020-10-14,BTCEUR,9735.6,9830,9619.5,9740.5,9723.4
2020-10-13,BTCEUR,9751.3,9810.1,9645,9736.5,9731.7
2020-10-12,BTCEUR,9631.4,9920,9500,9744.7,9697.5
2020-10-11,BTCEUR,9518.1,9650,9508.5,9631.4,9599.5
2020-10-10,BTCEUR,9346.8,9687.3,9346.8,9520.2,9566.9
2020-10-09,BTCEUR,9289,9401.8,9222,9347.8,9311.8
2020-10-08,BTCEUR,9063.6,9315.5,8975,9285.2,9159.7
2020-10-07,BTCEUR,9029.5,9068,9002.1,9065.9,9031.6
2020-10-06,BTCEUR,9149.9,9150,8962.5,9034,9075.4
2020-10-05,BTCEUR,9108.2,9184,9067.1,9147.9,9108.5
2020-10-04,BTCEUR,9030.1,9138.3,9006.4,9108.4,9068
2020-10-03,BTCEUR,9039.3,9058.4,8986.8,9030.5,9025.5
2020-10-02,BTCEUR,9048.9,9099,8854.1,9039.3,8965.7
2020-10-01,BTCEUR,9190,9315.7,8900,9049.2,9137.9
2020-09-30,BTCEUR,9239.9,9245,9118.5,9189.9,9169.5
2020-09-29,BTCEUR,9195.2,9195.2,9195.2,9195.2,0
2020-09-28,BTCEUR,9195.2,9195.2,9195.2,9195.2,0
2020-09-27,BTCEUR,9195.2,9195.2,9195.2,9195.2,0
2020-09-26,BTCEUR,9195.2,9195.2,9195.2,9195.2,0
2020-09-25,BTCEUR,9190,9260.8,9088.8,9195.2,9158.9
2020-09-24,BTCEUR,8794.5,9227.5,8759,9188.8,8985.4
2020-09-23,BTCEUR,9006.1,9029.9,8705.1,8788.7,8932.4
2020-09-22,BTCEUR,8868.1,9045,8825,9006.9,8928
2020-09-21,BTCEUR,9232.8,9270,8800,8866.6,9004.2
2020-09-20,BTCEUR,9369.8,9369.9,9111.2,9232.8,9234.3
2020-09-19,BTCEUR,9241.5,9440,9227.1,9369.8,9323.6
2020-09-18,BTCEUR,9248.1,9330,9130.1,9241.6,9249.5
2020-09-17,BTCEUR,9290.2,9382.9,9126.9,9248.1,9217.5
2020-09-16,BTCEUR,9118.8,9394.2,9035,9286.2,9229.3
2020-09-15,BTCEUR,9008.1,9219.1,8963.1,9118.9,9092
2020-09-14,BTCEUR,8737.8,9068.9,8683.5,9008.1,8883.3
2020-09-13,BTCEUR,8827.9,8938.4,8647.6,8737.5,8781.1
2020-09-12,BTCEUR,8795.3,8853.1,8705.7,8828,8782
2020-09-11,BTCEUR,8765.5,8799,8655,8795.3,8714.2
2020-09-10,BTCEUR,8675.2,8830,8673.2,8770.4,8748.9
2020-09-09,BTCEUR,8622.6,8776,8485.4,8678,8673.9
2020-09-08,BTCEUR,8789.9,8839.6,8400,8618.5,8586.4
2020-09-07,BTCEUR,8676.7,8829,8378,8789.9,8572.8
2020-09-06,BTCEUR,8599.3,8753.7,8461.8,8676.8,8655
2020-09-05,BTCEUR,8857.1,8945.4,8365.4,8596.6,8589.1
2020-09-04,BTCEUR,8612.2,8989.9,8425,8857.1,8786
2020-09-03,BTCEUR,9639.2,9725,8500,8616.6,9223.1
2020-09-02,BTCEUR,10003.8,10028.9,9500,9639.2,9721.6
2020-09-01,BTCEUR,9779,10100,9682,10003.9,9957.7
2020-08-31,BTCEUR,9831.9,9885.8,9750,9779.4,9816.9
2020-08-30,BTCEUR,9665.3,9839,9661.3,9831.9,9774.5
2020-08-29,BTCEUR,9698.8,9747.4,9614,9665.4,9693.2
2020-08-28,BTCEUR,9598.9,9719.9,9569.2,9698.9,9646.5
2020-08-27,BTCEUR,9692.7,9774,9441.2,9598.9,9615.2
2020-08-26,BTCEUR,9590.1,9767.2,9533.6,9688,9663.8
2020-08-25,BTCEUR,9984.1,9987.7,9431.8,9590.2,9699
2020-08-24,BTCEUR,9894.2,9999.9,9850,9984.8,9965.3
2020-08-23,BTCEUR,9910.6,9943,9800.1,9894.3,9870.4
2020-08-22,BTCEUR,9794.7,9926.2,9690.3,9910.7,9816.7
2020-08-21,BTCEUR,10008.1,10034,9778,9793.9,9952.1
2020-08-20,BTCEUR,9937.5,10047,9892.1,10008,9977.5
