Date,Symbol,Open,High,Low,Close,Average
2025-12-31,BTCUSD,88420.18,89135.12,87338.51,87641.10,88133.73
2025-12-30,BTCUSD,87264.28,89287.99,86952.64,88505.84,88002.69
2025-12-29,BTCUSD,87841.09,90319.97,86984.12,87257.17,88100.59
2025-12-28,BTCUSD,87901.26,88006.88,87500.05,87886.05,87823.56
2025-12-27,BTCUSD,87344.05,87864.30,87290.33,87852.06,87587.69
2025-12-26,BTCUSD,87242.21,89481.81,86780.01,87392.61,87724.16
2025-12-25,BTCUSD,87634.06,88538.94,87076.02,87259.28,87627.08
2025-12-24,BTCUSD,87570.21,88009.78,86619.98,87695.39,87473.84
2025-12-23,BTCUSD,88510.30,88905.62,86856.39,87434.60,87926.73
2025-12-22,BTCUSD,88740.39,90284.70,88027.37,88574.25,88906.68
2025-12-21,BTCUSD,88359.72,89069.24,87680.89,88599.97,88427.46
2025-12-20,BTCUSD,88090.02,88519.95,87961.59,88380.01,88237.89
2025-12-19,BTCUSD,85466.76,88768.66,85170.76,88134.07,86885.06
2025-12-18,BTCUSD,86206.37,89359.96,84493.49,85483.08,86385.73
2025-12-17,BTCUSD,87626.85,90228.01,85373.96,86081.94,87327.69
2025-12-16,BTCUSD,86455.05,87975.95,85374.97,87841.36,86911.83
2025-12-15,BTCUSD,88294.04,89942.03,85357.07,86406.04,87499.80
2025-12-14,BTCUSD,90152.56,90446.27,87932.57,88219.98,89187.85
2025-12-13,BTCUSD,90407.54,90608.85,89960.04,90251.97,90307.10
2025-12-12,BTCUSD,92460.92,92695.59,89596.59,90288.94,91260.51
2025-12-11,BTCUSD,91988.05,93352.15,89426.67,92467.35,91808.56
2025-12-10,BTCUSD,92669.78,94229.27,91737.22,92003.88,92660.04
2025-12-09,BTCUSD,90617.38,94465.98,89787.67,92735.96,91901.75
2025-12-08,BTCUSD,90355.85,92206.95,89732.98,90601.25,90724.26
2025-12-07,BTCUSD,89279.22,91633.72,87877.81,90180.00,89742.69
2025-12-06,BTCUSD,89219.62,90129.99,88964.15,89220.33,89383.52
2025-12-05,BTCUSD,92219.87,92657.97,88342.48,89289.70,90627.51
2025-12-04,BTCUSD,93415.12,94014.17,90955.15,92132.65,92629.27
2025-12-03,BTCUSD,91247.56,94028.10,91122.77,93637.68,92509.03
2025-12-02,BTCUSD,86317.59,92253.90,86220.03,91279.88,89017.85
2025-12-01,BTCUSD,89918.97,89918.97,83930.25,86277.99,87511.55
2025-11-30,BTCUSD,90844.71,91954.91,90395.40,90395.40,90897.61
2025-11-29,BTCUSD,90951.13,91102.04,90228.56,90822.83,90776.14
2025-11-28,BTCUSD,91198.17,92937.17,90251.89,90954.11,91335.34
2025-11-27,BTCUSD,90418.00,91832.04,90179.01,91293.26,90930.58
2025-11-26,BTCUSD,87557.77,90575.95,86422.99,90512.74,88767.36
2025-11-25,BTCUSD,88133.97,88512.98,86254.26,87388.48,87572.42
2025-11-24,BTCUSD,86639.63,89201.62,85485.02,88271.06,87399.33
2025-11-23,BTCUSD,84926.19,87992.07,84926.19,86808.22,86163.17
2025-11-22,BTCUSD,85294.51,85598.03,83533.46,84723.57,84787.39
2025-11-21,BTCUSD,86737.49,87402.99,80847.48,85155.80,85035.94
2025-11-20,BTCUSD,91446.05,93008.37,86116.51,86798.04,89342.24
2025-11-19,BTCUSD,92677.96,92799.46,88626.08,91467.91,91392.85
2025-11-18,BTCUSD,92276.00,93787.80,89467.73,92861.02,92098.14
2025-11-17,BTCUSD,94217.07,95989.17,91400.00,92147.19,93438.36
2025-11-16,BTCUSD,95604.52,96630.01,93050.01,94514.76,94949.83
2025-11-15,BTCUSD,94997.55,96697.80,94824.18,95570.93,95522.62
2025-11-14,BTCUSD,99621.90,99828.83,94240.03,94578.47,97067.31
2025-11-13,BTCUSD,101726.00,103931.00,98094.69,99790.50,100885.55
2025-11-12,BTCUSD,103268.00,105229.00,101033.00,101540.00,102767.50
2025-11-11,BTCUSD,105985.00,107291.00,102503.00,102984.00,104690.75
2025-11-10,BTCUSD,104327.00,106560.00,104327.00,105946.00,105290.00
2025-11-09,BTCUSD,102325.00,105144.00,101501.00,104753.00,103430.75
2025-11-08,BTCUSD,103154.00,103406.00,101479.00,102323.00,102590.50
2025-11-07,BTCUSD,101490.00,103993.00,99369.00,103445.00,102074.25
2025-11-06,BTCUSD,103616.00,104086.00,100553.00,101383.00,102409.50
2025-11-05,BTCUSD,101366.00,104520.00,99012.91,103906.00,102201.23
2025-11-04,BTCUSD,106507.00,107280.00,99145.57,101654.00,103646.64
2025-11-03,BTCUSD,110579.00,110718.00,105350.00,106569.00,108304.00
2025-11-02,BTCUSD,110042.00,111197.00,109530.00,110628.00,110349.25
2025-11-01,BTCUSD,109444.00,110466.00,109432.00,110053.00,109848.75
2025-10-31,BTCUSD,108466.00,111094.00,108421.00,109620.00,109400.25
2025-10-30,BTCUSD,109986.00,111537.00,106370.00,108234.00,109031.75
2025-10-29,BTCUSD,112870.00,113560.00,109837.00,110006.00,111568.25
2025-10-28,BTCUSD,113956.00,116000.00,112463.00,112955.00,113843.50
2025-10-27,BTCUSD,114732.00,116073.00,113860.00,114173.00,114709.50
2025-10-26,BTCUSD,111584.00,114902.00,111260.00,114480.00,113056.50
2025-10-25,BTCUSD,111001.00,111916.00,110698.00,111615.00,111307.50
2025-10-24,BTCUSD,110106.00,111584.00,109918.00,110982.00,110647.50
2025-10-23,BTCUSD,107598.00,111253.00,107597.00,110030.00,109119.50
2025-10-22,BTCUSD,108454.00,108898.00,106794.00,107617.00,107940.75
2025-10-21,BTCUSD,110406.00,113766.00,107535.00,108529.00,110059.00
2025-10-20,BTCUSD,108354.00,111547.00,107667.00,110556.00,109531.00
2025-10-19,BTCUSD,107162.00,109408.00,106147.00,108606.00,107830.75
2025-10-18,BTCUSD,106363.00,107319.00,106352.00,107130.00,106791.00
2025-10-17,BTCUSD,108065.00,109184.00,103778.00,106429.00,106864.00
2025-10-16,BTCUSD,110787.00,111911.00,107519.00,108060.00,109569.25
2025-10-15,BTCUSD,112942.00,113542.00,110270.00,110649.00,111850.75
2025-10-14,BTCUSD,115122.00,115263.00,110157.00,113150.00,113423.00
2025-10-13,BTCUSD,115057.00,115814.00,113780.00,115125.00,114944.00
2025-10-12,BTCUSD,110474.00,115410.00,109635.00,115100.00,112654.75
2025-10-11,BTCUSD,112737.00,113265.00,109657.00,110752.00,111602.75
2025-10-10,BTCUSD,121729.00,122437.00,104812.00,112938.00,115479.00
2025-10-09,BTCUSD,123233.00,123630.00,119800.00,121678.00,122085.25
2025-10-08,BTCUSD,121615.00,124020.00,121177.00,123315.00,122531.75
2025-10-07,BTCUSD,124696.00,124982.00,120696.00,121479.00,122963.25
2025-10-06,BTCUSD,123355.00,126025.00,123164.00,124735.00,124319.75
2025-10-05,BTCUSD,122325.00,125400.00,122159.00,123468.00,123338.00
2025-10-04,BTCUSD,122081.00,122733.00,121548.00,122348.00,122177.50
